第一次,第二次
"近义词汉语:香,喷香,香喷喷,芳香,芬芳,芳菲,菲菲,清香,馨香,异香,香泽,芳泽,馥郁,香气扑鼻,甜香,飘香,香扑扑,香气,香味,香馥馥,馥馥,幽香,果香,余香,醇芳,酒香,花香,香醇,香嫩,浓香,馥,馨俄语","近义词汉语:香,喷香,香喷喷,芳香,芬芳,芳菲,菲菲,清香,馨香,异香,香泽,芳泽,馥郁,香气扑鼻,甜香,飘香,香扑扑,香气,香味,香馥馥,馥馥,幽香,果香,余香,醇芳,酒香,花香,香醇,香嫩,浓香,馥,馨俄语:ароматный,душистый德语:Weihrauch,duftend,riechend,Duft,duftend,fest,tief,Weihrauch法语:parfumé,aromatique,délicieux,appétissant英语:appetizing,aromatic,fragrant,incense,jossstick,perfume,welcome("
"近义词汉语:辣,辛,辛辣,麻辣,辣丝丝,辣乎乎,辣味俄语","近义词汉语:辣,辛,辛辣,麻辣,辣丝丝,辣乎乎,辣味俄语:жестокий,беспощадный德语:scharf,scharferGeschmack法语:piquant,cruel英语:hot,peppery,ruthless,sting("
"近义词汉语:气息,气味,气,味,味道,鼻息法语近义词汉语:味道,滋味,味,味儿汉语:味道,滋味法语近义词汉语:股,剂,帖,煎,味,料俄语","近义词汉语:气息,气味,气,味,味道,鼻息法语:souffle,haleine,parfum,senteur,odeuragréable西班牙语:efluvio,huelgo英语:breath,flavor,smell,tang,tincture,tinge,wind3味道近义词汉语:味道,滋味,味,味儿汉语:味道,滋味法语:goût,saveur葡萄牙语:gosto,sabor英语:flavour,smell,taste西班牙语:dejo,gusto,paladar,sabor,sazón4股近义词汉语:股,剂,帖,煎,味,料俄语:секция,отдел英语:ply,section,shareinacompany,stock,strand,thigh法语:cuisse,action("
"近义词汉语:克制,抑制,控制,自制,自持,抑止,压抑,按压,按捺,按,捺,压,平,憋,止,克,克服,相生相克,相依相克俄语近义词汉语:能够,能,会,克,力所能及,可知,亦可法语近义词汉语:消化,克,化俄语近义词汉语:限制,限量,限定,范围,限,拘,克,画地为牢,界定俄语近义词汉语:攻占,抢占,攻克,夺取,袭取,攻破,攻陷,打下,下,破,克,拿下,占领,攻城略地,攻城掠地,一锅端,攻取,把下,夺回英语","近义词汉语:克制,抑制,控制,自制,自持,抑止,压抑,按压,按捺,按,捺,压,平,憋,止,克,克服,相生相克,相依相克俄语:сдержать,побороть,сдержанность,сдержанный葡萄牙语:refreamento,refrear,abstenção,abster法语:dominer,retenir,maîtriser英语:control,forbear,exerciserestraint,restrain西班牙语:cohibición,combatir,conformidad,continencia,reportar,reprimir,retener德语:beherrscht,Beschränkung,Hemmnis,Einhalt,Enthaltung,Hemmung,Zurückhaltung,beherrschen,unterdrücken,zähmen,zügeln,zurückhalten,abstinent,mäßig反义词汉语:放纵3能够近义词汉语:能够,能,会,克,力所能及,可知,亦可法语:pouvoir,êtrecapablede德语:können,imStandesein葡萄牙语:habilitar,poder英语:beableto,becapableof,inapositionto反义词汉语:不能4消化近义词汉语:消化,克,化俄语:переваривать,пищеварение,пищеварительный德语:verarbeitet,Verdauung,verarbeiten葡萄牙语:digestivo,digestão,sílabo,sumário,digesto西班牙语:digerir,digestión英语:assimilation,digest,stomach5限制近义词汉语:限制,限量,限定,范围,限,拘,克,画地为牢,界定俄语:ограничить,ограничение葡萄牙语:restrição,restritivo,restringir,limitativo,limitação,confinamento,confinar,limite英语:restrict,limit,astrict,circumscribe,confine,imprison,tether法语:limiter,restreindre德语:Gebundenheit,Grenze,Limit,Limitation,Limite,Restriktion,Umschreibung,beschränkt,bremsen,einengen,einschränken,abgegrenzt,definiert,eingegrenzt,einschränkend西班牙语:coartación,coartar,cortapisa,restricción,restringir反义词汉语:放手,不拘6攻占近义词汉语:攻占,抢占,攻克,夺取,袭取,攻破,攻陷,打下,下,破,克,拿下,占领,攻城略地,攻城掠地,一锅端,攻取,把下,夺回英语:stormandoccupy,takebystorm法语:prendred'assaut,occuper西班牙语:expugnar,toma查看关于克的反义词>>("
"近义词汉语:包,裹,包裹,包装,封装,打包,卷入,装进,裹进俄语近义词汉语:包裹,包袱,包,卷俄语近义词汉语:疙瘩,圪塔,包,疹,块,肿块,疹子俄语近义词汉语:包围,围困,合围,围城,困,围城打援,围魏救赵,围住汉语:包围,包,重围德语近义词汉语:租用,租借,租赁,赁,僦,包,顶,租下,承租德语近义词汉语:承揽,兜揽,包揽,承包,包圆儿,揽,包,兜,三包,大包大揽,承修,包圆7包括近义词汉语:包括,囊括,包罗,牢笼,席卷,总括,概括,赅,包,连,不外乎,统揽,揽括葡萄牙语近义词汉语:管保,保管,管教,包管,保险,保证,准保,确保,担保,保,包,管,打包票,作保,保准,承保,力保法语","近义词汉语:包,裹,包裹,包装,封装,打包,卷入,装进,裹进俄语:завёртывать,обёртывать,упаковывать,перевязывать德语:inVerwahrungnehmen,Vertragabschließen,versichern,garantieren,Beule,Geschwulst,Beutel,Sack,Tasche,Paket,Päckchen,aufnehmen,einschließen,decken,umfassen,halten,festhalten,hüllen,einpacken,einwickeln,zusammenpacken,zusammenpacken法语:envelopper,empaqueter,encercler,contenir,embasser,sechargerde,garantir,affréter/louer英语:bag,bale,package,wrap西班牙语:atado,bala,bolsa,chichón,envoltorio,fajo,forrar,lío,paco2包裹近义词汉语:包裹,包袱,包,卷俄语:узел,пакет,посылка葡萄牙语:enrolamento,pacote,envolvimento,envolver,fralda德语:einhüllen,einwickeln,Ansammlung,Gehäuse,Paket,Päckchen,Post,Sendung英语:bundle,pack,package,parcel,wrap西班牙语:bagayo,bulto,envainar,envolver,fajo,paquete3疙瘩近义词汉语:疙瘩,圪塔,包,疹,块,肿块,疹子俄语:ком,узел德语:Krawattenknoten,Astloch,Schwellung,Warze,schwellen法语:bouton,furoncle,masse,boule,nœud西班牙语:bollo,bulto,chichón,nudo英语:aknotinone'sheart,blotch,lump,pimple4包围近义词汉语:包围,围困,合围,围城,困,围城打援,围魏救赵,围住汉语:包围,包,重围德语:umzingeln,Belagerung,Einlage,beilegen,einkesseln,umfassen,umsäumen,umschließen,umzäunen葡萄牙语:sítio,assédio,assediar英语:surround,encircle,besiege,circle,compass,envelop,enwrap,siege法语:encercler,assiéger西班牙语:acordonar,asediar,asedio,bloquear,bloqueo,cercar,cerco,circundar,envolver,rodear,rodeo,sitiar,sitio5租用近义词汉语:租用,租借,租赁,赁,僦,包,顶,租下,承租德语:Pachtverhältnis,mieten,gemietet英语:hire,rent,takeonlease西班牙语:arrendar,fletar6承揽近义词汉语:承揽,兜揽,包揽,承包,包圆儿,揽,包,兜,三包,大包大揽,承修,包圆7包括近义词汉语:包括,囊括,包罗,牢笼,席卷,总括,概括,赅,包,连,不外乎,统揽,揽括葡萄牙语:inclusivo,inclusão,incluir英语:comprize,consistof,cover,include,incorporate,involve,takein法语:comprendre/contenir,comporter西班牙语:abarcar,comprender,constar,contener,cubrir,englobar,incluir,inclusión,incluso8管保近义词汉语:管保,保管,管教,包管,保险,保证,准保,确保,担保,保,包,管,打包票,作保,保准,承保,力保法语:garantir,assurer英语:assure,guarantee,certainly,surely("
"近义词汉语:袋,袋子,口袋,荷包,囊,橐,兜,兜子,兜儿俄语","近义词汉语:袋,袋子,口袋,荷包,囊,橐,兜,兜子,兜儿俄语:мешок,сумка,кошелёк法语:sac,poche英语:bag,sack("
"近义词汉语:外衣,外套法语","近义词汉语:外衣,外套法语:manteau,veste西班牙语:chaqueta,ropaje,sayo,vestido英语:appearance,coat,garb,jacket,outerclothing,overdress德语:Anschein,Oberbekleidung,Schaustück查看关于外套的反义词>>("
"近义词汉语:升降机,电梯法语","近义词汉语:升降机,电梯法语:élévateur,ascenseur英语:elevator,lifter("
"近义词汉语:调养,保养,颐养,将养,养生,将息,调理,摄生,保健,消夏,安享,清心法语","近义词汉语:调养,保养,颐养,将养,养生,将息,调理,摄生,保健,消夏,安享,清心法语:sesoigner,ménagersasanté查看关于保养的反义词>>("
"近义词汉语:希望,企望,盼望,祈望,祈望,期望,巴望,指望,仰望,想望,瞩望,期待,梦想,愿意,企盼,希,望,盼,期,祈,企,巴,欲,要,祷,想,幸,冀,可望,冀望,但愿,意在,只求,务期英语","近义词汉语:希望,企望,盼望,祈望,祈望,期望,巴望,指望,仰望,想望,瞩望,期待,梦想,愿意,企盼,希,望,盼,期,祈,企,巴,欲,要,祷,想,幸,冀,可望,冀望,但愿,意在,只求,务期英语:expect,hope,like,pleasure,promise,prospect,trust,want,wish法语:espérer,désirer德语:erwarten,hoffen.,Hoffnung西班牙语:apetecer,aspirar,desear,deseo,espera,esperanza,esperar,expectativa,pretender,pretensión,tirar反义词汉语:如愿查看关于希的反义词>>("
"近义词汉语:酒店,酒家,酒吧间,酒楼,酒馆,大酒店,酒吧,国宾馆,小吃摊俄语","近义词汉语:酒店,酒家,酒吧间,酒楼,酒馆,大酒店,酒吧,国宾馆,小吃摊俄语:трактир,ресторан西班牙语:taberna,tasca德语:großesRestaurant,Hotel英语:cafe,groggery,grogshop法语:bar,bistrot,restaurant,hôtel("
"近义词汉语:产品,出品,成品,制品,活,必要产品德语","近义词汉语:产品,出品,成品,制品,活,必要产品德语:Produkt,Ware西班牙语:producción,producto英语:manufacture,output,product,work查看关于成品的反义词>>("
"近义词汉语:帮,壁德语近义词汉语:群,帮,帮子,班,伙,批,股,起,起子,队,拔,把子俄语近义词汉语:帮助,扶助,协助,赞助,援助,臂助,救助,匡助,辅助,襄助,相帮,帮忙,帮衬,支援,增援,声援,搭手,援手,扶持,扶植,扶,拉扯,扶掖,提携,提挈,助,帮,辅,援,拉,襄,协,匡扶,受助,帮带,佑助,八方支援,鼎力相助,有难必帮,相助,帮扶英语","近义词汉语:帮,壁德语:Bande,helfen,Gruppe西班牙语:banda,bandería,camada,caterva,cuadrilla,gavilla,hato,manada,partida,redada,team英语:assist,gang,help2群近义词汉语:群,帮,帮子,班,伙,批,股,起,起子,队,拔,把子俄语:толпа,скопление,стадо,табун,также德语:Gruppe,gruppiert,ZEWfürGruppen(近义词汉语:帮助,扶助,协助,赞助,援助,臂助,救助,匡助,辅助,襄助,相帮,帮忙,帮衬,支援,增援,声援,搭手,援手,扶持,扶植,扶,拉扯,扶掖,提携,提挈,助,帮,辅,援,拉,襄,协,匡扶,受助,帮带,佑助,八方支援,鼎力相助,有难必帮,相助,帮扶英语:help,aid,assist,crutch,facilitate,lendahand,support德语:helfen,Hilfe西班牙语:amparar,amparo,asistir,auxiliar,auxilio,ayuda,ayudar,coadyuvar,descansar,favor,favorecer,fomento,gauchada,proteger,secundar,servicio,sufragar,sufragio法语:aider,assister反义词汉语:阻碍,捣乱,干扰,妨碍查看关于帮的反义词>>("
"近义词汉语:中原,华夏,中华,华,赤县,神州,九州,赤县神州,炎黄,中国,礼仪之邦","近义词汉语:中原,华夏,中华,华,赤县,神州,九州,赤县神州,炎黄,中国,礼仪之邦("
"近义词汉语:电流计,安培计,电流表西班牙语","近义词汉语:电流计,安培计,电流表西班牙语:amperímetro,galvanómetro德语:Amperemeter,Galvanometer,Strommesser("
"近义词汉语:可靠,牢靠,牢稳,保险,笃定,把稳,吃准,靠得住,十拿九稳,百无一失,稳操胜券,稳操左券,稳拿把攥俄语近义词汉语:管保,保管,管教,包管,保险,保证,准保,确保,担保,保,包,管,打包票,作保,保准,承保,力保法语","近义词汉语:可靠,牢靠,牢稳,保险,笃定,把稳,吃准,靠得住,十拿九稳,百无一失,稳操胜券,稳操左券,稳拿把攥俄语:надёжный,верный法语:sûr,certain反义词汉语:冒险3管保近义词汉语:管保,保管,管教,包管,保险,保证,准保,确保,担保,保,包,管,打包票,作保,保准,承保,力保法语:garantir,assurer英语:assure,guarantee,certainly,surely查看关于保险的反义词>>("
"近义词汉语:空气,大气葡萄牙语近义词汉语:气氛,空气,氛围法语","近义词汉语:空气,大气葡萄牙语:pneumático,aéreo,ar德语:Luft,Atmosphäre西班牙语:aire,ambiente,viento法语:air,atmosphère英语:air,airspace,atmosphere2气氛近义词汉语:气氛,空气,氛围法语:atmosphère,ambiance英语:atmosphere,aura,aurae,mood,tone德语:Anwandlung,Atmosphäre,Stimmung,atmosphärisch西班牙语:ambiente,clima("
"近义词汉语:二,贰,两,俩,二元俄语近义词汉语:第二,二,次,仲,亚,其次,老二,伯仲,次之俄语","近义词汉语:二,贰,两,俩,二元俄语:два,второй德语:zwei(近义词汉语:第二,二,次,仲,亚,其次,老二,伯仲,次之俄语:второй,во-вторых德语:Vize,übrig,zweit,Dier葡萄牙语:secundário,segundo英语:second,secondly("
"近义词汉语:叼,含,衔,噙俄语近义词汉语:存心,居心,怀抱,心怀,胸怀,怀,抱,负,安,含,饮,煞费心机俄语近义词汉语:包含,含,噙,包孕,带有,含有,含蓄,蕴涵,蕴蓄,韫,寓,蕴,蕴藏,蕴含,蕴藉,饱含,分包,隐含,富含,涵,盈盈,包蕴,暗含,深蕴,涵盖德语","近义词汉语:叼,含,衔,噙俄语:держатьворту[взубах],держатьвклюве3存心近义词汉语:存心,居心,怀抱,心怀,胸怀,怀,抱,负,安,含,饮,煞费心机俄语:замышлять,умысел法语:intentionnellement,expressément英语:cherishcertainintentions,onpurpose反义词汉语:无意,无心4包含近义词汉语:包含,含,噙,包孕,带有,含有,含蓄,蕴涵,蕴蓄,韫,寓,蕴,蕴藏,蕴含,蕴藉,饱含,分包,隐含,富含,涵,盈盈,包蕴,暗含,深蕴,涵盖德语:enthielt,inliegend,Begreifen,Einbindung,Eindämmung,Einfügung,Eingliederung,Einschluss,Implikation,Verwicklung,einarbeiten,implizieren,beinhaltet,enthaltend,incl.葡萄牙语:conter,incluir法语:contenir,comprendre,englober英语:comprize,contain,embody,embrace,include西班牙语:abrazar,encerrar,entrañar,importar反义词汉语:除外查看关于含的反义词>>("
"近义词汉语:发光,发亮,煜英语","近义词汉语:发光,发亮,煜英语:irradiate,radiate,shine,beluminous,blaze,gloss法语:briller,rayonner西班牙语:brillantez,brillar,fulguración,fulgurar,lucimiento,lucir,refulgir,resplandecer葡萄牙语:brilhante,brilho,luminoso,luminosidade,luzente,irradiação,irradiar("
"近义词汉语:左,左面,左边,左首,左手,上手,上首,里手,左侧,左方俄语近义词汉语:东,东方,东边,左,正东,东面,东头俄语近义词汉语:错误,错,误,左,失实,不当,不对,荒唐,谬误,悖谬,荒谬,大谬不然,错误百出,大错特错,一无是处,百无一失,破绽百出,漏洞百出,张冠李戴,似是而非,背谬,缪,错谬俄语","近义词汉语:左,左面,左边,左首,左手,上手,上首,里手,左侧,左方俄语:леваясторона,,левый,влево,налево法语:gauche,opposé英语:contrary,different,left2东近义词汉语:东,东方,东边,左,正东,东面,东头俄语:восток,восточный德语:Osten,Gastgeber,Herr,Eigentümer,östlich西班牙语:este,levante法语:est,orient,hôte英语:east,master3错误近义词汉语:错误,错,误,左,失实,不当,不对,荒唐,谬误,悖谬,荒谬,大谬不然,错误百出,大错特错,一无是处,百无一失,破绽百出,漏洞百出,张冠李戴,似是而非,背谬,缪,错谬俄语:ошибка,проступок,ошибочный英语:error,mistake,balk,baulk,falsity,inaccuracy,slip,stumer法语:erreur,faute葡萄牙语:errado,erro,errôneo西班牙语:coladura,culpa,delito,desacierto,descuido,equivocación,error,falta,pecado,pifia反义词汉语:准确,无误,成绩,正确查看关于左的反义词>>("
"近义词汉语:轮胎,轮带,皮带,胎,车胎,车带英语","近义词汉语:轮胎,轮带,皮带,胎,车胎,车带英语:tire,tyre法语:pneu,pneumatique西班牙语:caucho,neumático("
"近义词汉语:药品,药物,药,药味,药石,药料法语","近义词汉语:药品,药物,药,药味,药石,药料法语:médicament,remède英语:medicinesandchemicalreagents,physic西班牙语:droga,medicamento("
"近义词汉语:冷却,冷,凉,激,镇,制冷,降温,气冷俄语","近义词汉语:冷却,冷,凉,激,镇,制冷,降温,气冷俄语:охлаждать,охлаждение葡萄牙语:refrigeratório,refrigerativo,refrigeração,refrigerar西班牙语:enfriamiento,enfriar,pasmar,refrigeración,refrigerar,resfriar英语:cool,cooling,refrigeration反义词汉语:加热,沸腾,沸騰查看关于冷却的反义词>>("
"近义词汉语:能量,能","近义词汉语:能量,能葡萄牙语:energia,energizar("
"近义词汉语:江河,江,河,川,水,河流,水流,河川,长河,沧江,天堑,河水,江湖,江流,大江,沿河,河里,延河水,江河水,地表水,大溜,浊流,淮3汁近义词汉语:汁,汁液,汁水,液,水,液汁俄语","近义词汉语:江河,江,河,川,水,河流,水流,河川,长河,沧江,天堑,河水,江湖,江流,大江,沿河,河里,延河水,江河水,地表水,大溜,浊流,淮3汁近义词汉语:汁,汁液,汁水,液,水,液汁俄语:сок,бульон法语:jus,suc英语:juice,liquor,succus西班牙语:jugo,zumo("
"近义词汉语:包,裹,包裹,包装,封装,打包,卷入,装进,裹进俄语","近义词汉语:包,裹,包裹,包装,封装,打包,卷入,装进,裹进俄语:завёртывать,обёртывать,упаковывать,перевязывать德语:inVerwahrungnehmen,Vertragabschließen,versichern,garantieren,Beule,Geschwulst,Beutel,Sack,Tasche,Paket,Päckchen,aufnehmen,einschließen,decken,umfassen,halten,festhalten,hüllen,einpacken,einwickeln,zusammenpacken,zusammenpacken法语:envelopper,empaqueter,encercler,contenir,embasser,sechargerde,garantir,affréter/louer英语:bag,bale,package,wrap西班牙语:atado,bala,bolsa,chichón,envoltorio,fajo,forrar,lío,paco("
"近义词汉语:任意,肆意,随意,恣意,任性,无度,自由,随便,轻易,擅自,随心所欲,不管三七二十一,随随便便,无限制,即兴,人身自由,妄动,随机德语","近义词汉语:任意,肆意,随意,恣意,任性,无度,自由,随便,轻易,擅自,随心所欲,不管三七二十一,随随便便,无限制,即兴,人身自由,妄动,随机德语:direkt,wahlfrei,Freiwilligkeit,Handlungsfreiheit,wahllos,willkürlich英语:arbitrariness,atdiscretion,atwill,random,voluntariness("
"近义词汉语:发,颁发,发出,下,行文,下发汉语:发,头发,髫,毛发,发丝俄语","近义词汉语:发,颁发,发出,下,行文,下发汉语:发,头发,髫,毛发,发丝俄语:выпускать,испускать西班牙语:pelo,sacar英语:hair,issue,sendout,deliver,utter,develop,discover法语:envoyer,distribuer,prononcer,exprimer,produire,devenir,gonfler德语:("
"近义词汉语:婴儿,婴孩,婴,新生儿,产儿,赤子,乳儿,毛毛,小儿,早产儿,婴幼儿德语","近义词汉语:婴儿,婴孩,婴,新生儿,产儿,赤子,乳儿,毛毛,小儿,早产儿,婴幼儿德语:Säugling,Säugling,Säuglingssterblichkeit葡萄牙语:infantil,bebê法语:bébé,nonbeau-né西班牙语:bebé,cría,criatura,guagua,nene,pebete,rorro,viable英语:baby,infant,newborn,nursling("
"近义词汉语:软,柔,软和,绵软,柔软,柔韧,柔嫩,松软,软绵绵,软乎乎,软塌塌,细软,心软,软软,柔曼,绒绒的,软性俄语","近义词汉语:软,柔,软和,绵软,柔软,柔韧,柔嫩,松软,软绵绵,软乎乎,软塌塌,细软,心软,软软,柔曼,绒绒的,软性俄语:мягкий,гибкий德语:weich,weichen,weichlich法语:mou,tendre,doux,faible西班牙语:molicie,terneza,ternura英语:flexible,gentle,mild,pliable,soft,supple,weak("
